id	name	type
15233556	Bando per la rinouazione della proibizione, che li scolari delle città, e luoghi del Dominio fiorentino, e di Pontremoli non possino andar a studio altroue che nello studio pisano›Bando per la rinovazione della proibizione che li scolari delle città e luoghi del Dominio fiorentino e di Pontremoli non possino andar a studio altrove che nello studio pisano	Edition
30762124	De progenie Augusti Caesaris	Person
15233965	Additioni, et limitationi, sopra alcuni capitoli et bandi della gabella della carne : fatta adi XIIII d'ottobre MDLXI›Additioni, et limitationi, sopra alcvni capitoli et bandi della gabella della carne	Edition
19272547	L'Ercole in Tebe : drama per mvsica	Edition
15234391	Bando sopra la distribuzione de' paliotti per la festiuità del gloriosissimo S. Gio. Batista, protettore della città di Firenze›Bando sopra la distribvzione de' paliotti per la festività del gloriosissimo S. Gio. Batista, protettore della città di Firenze	Edition
27530276	Per Thomas Wood in Little Britain	Publisher
23117687	Per li heredi di P. di Giunta	Publisher
15236520	Rinnovazione, dichiarazione, et aggiunta a più provisioni e leggi in materia di scrocchi & altri contratti illeciti e sopra gli sensali e mezani della città di Firenze, in diversi tempi fatte e pubblicate	Edition
9267826	Im Venetia	Place
3178955	Fiorfnza sic	Place
23773486	Apud Michaelem Hertz	Publisher
15239461	Legge del l'illustriss. et eccellentiss. signor il s. duca di Fiorenza, prohibitiua a chi sia proposto all'administratione della iustitia o che habbi altri negocij publici di non pigliar presenti & di non iudicar in certe cause›Legge del l'illvstriss. et eccellentiss. signor il s. dvca di Fiorenza›Prohibitiua a chi sia proposto all'administratione della iustitia o che habbi altri negocij publici di non pigliar presenti & di non iudicar in certe cause	Edition
15239849	Legge dell'illustriss. et eccellentiss. s. il s. duca di Fiorenza, sopra le cose del suo magistrato de V conseruadori del contado et distreto›Legge del l'illvstriss. et eccellentiss. s. il s. dvca di Fiorenza›Sopra le cose del suo magistrato de V conseruadori del contado et distreto›Sopra le cose del svo mag. de V. conservadori del contado et distreto	Edition
15240248	Deliberatione del illustrissimo et eccellentiss. signor duca di Fiorenza, et sua magnifici Consiglieri, sopra la cognitione de contratti illeciti : fatta il di 21. di febraio 1550›Deliberatione del illvstrissimo et eccellentiss. signor dvca di Fiorenza, et sua magnifici Consiglieri, sopra la cognitione de contratti illeciti›Segue la legge della quale nella premessa deliberatione si fa mentione, publicata nel Consiglio de 48, il dì 14 d'aprile 1545	Edition
