source	target
10163908	4461
10163949	18560
10163978	139736
10164024	164024
10164025	164025
10164134	9050
10164135	2914
10164160	6613
10164172	91950
10164183	164183
10164212	12901
10164217	82416
10164224	164224
10164234	530
10164241	530
10164246	6613
10164249	6778
10164339	18560
10164340	32228
10164343	164343
10164346	115940
10164354	14311
10164365	17016
10164408	530
10164413	6571
10164415	164415
10164432	164432
10164467	94899
10164469	9050
10164477	7
10164589	31935
10164590	14933
10164591	2914
10164609	164609
10164617	18560
10164620	32228
10164659	163841
10164679	6613
10164682	530
10164695	6571
10164696	6613
10164727	94310
10164735	530
10164736	6613
10164747	164747
10164758	164758
10164784	6571
10164806	530
10164813	13845
10164814	530
10164815	513
10164816	6571
10164818	3
10164819	530
10164902	6542
10164972	14099
10164979	14838
10164985	530
10165036	530
10165157	13646
10165160	6571
10165213	18560
10165293	15080
10165326	116149
10165346	530
10165347	530
10165582	165582
10165585	165585
10165589	530
10165780	116405
10178253	530
10179976	530
10189636	3
10190030	190030
10190331	190331
10196093	196093
10197353	14399
10197663	3178
10205921	36643
10206767	13002
10206961	206961
10207053	817
10207055	530
10207057	6613
10207062	530
10207063	530
10207064	530
10207069	6571
10207173	530
10207176	6
10207179	530
10207181	530
10207187	6778
10207189	530
10207191	9948
10207192	6778
10207288	6783
10207294	23
10207301	530
10207412	530
10207413	6571
10207415	6613
10207428	6571
10207520	15080
10207521	207521
10207523	530
10207526	530
10207534	530
10207630	207630
10207642	6687
10207647	530
10207652	6613
10207810	530
10208631	14355
10208876	530
10209060	530
10209601	209601
10210837	90987
10212118	530
10212120	9390
10212250	530
10212251	530
10212258	212258
10212363	13845
10212365	530
10212367	282
10212683	9003
10212705	6778
10213376	530
10213395	530
10213425	6546
10213511	8712
10213623	14092
10213788	530
10213858	213858
10213860	14933
10213862	213858
10214260	530
10214570	6900
10214573	13292
10214574	13292
10214576	6900
10214579	6900
10214583	191
10214588	530
10214606	8028
10214663	6900
10214668	214668
10214670	6900
10214828	6718
10214831	6542
10215178	530
10215179	530
10215182	530
10215183	530
10215185	215185
10215284	530
10215285	6778
10215303	6613
10215381	6900
10215399	6571
10215513	7976
10215540	215540
10215541	3
10215642	6609
10215649	6533
10215650	6533
10215651	6533
10215652	6613
10215743	8712
10215745	6900
10215746	215746
10215747	215747
10215748	8712
10215749	8712
10215750	8712
10215762	215762
10215868	530
10215875	215875
10216195	530
10216213	6542
10216233	6591
10216237	216237
10216242	15080
10216309	13845
10216336	530
10216337	6609
10216361	6609
10216424	3
10216428	4262
10216432	8712
10216451	14355
10216452	530
10216568	3
10216788	93742
10216792	15260
10216794	26665
10216804	13292
10216917	213858
10217172	6571
10217414	139752
10217415	13
10217417	163816
10217518	530
10217621	28
10217622	28
10217638	217638
10217755	530
10217854	530
10218079	530
10218080	530
10218084	6613
10218085	218085
10218086	6571
10218088	218088
10218099	6778
10218195	218195
10218197	218197
10218198	6909
10218203	6542
10218319	530
10218320	530
10218321	530
10218325	530
10218558	90557
10218670	530
10218679	218679
10218680	530
10218683	218683
10218684	6900
10218808	6613
10218928	116149
10219030	530
10219042	8712
10219047	530
10219048	219048
10219049	14387
10219143	219143
10219149	6542
10219150	530
10219155	8519
10219160	13646
10219161	6571
10219162	530
10219404	219404
10219405	13879
10219503	6571
10219521	219521
10219639	6718
10219640	219640
10220222	1524
10220361	530
10220362	530
10220596	530
10220597	530
10220598	530
10220695	13084
10220703	220703
10220962	6778
10221569	530
10221570	221570
10221574	530
10221675	530
10221700	9003
10221791	221570
10221917	14630
10221919	6613
10222034	222034
10222035	6778
10222764	8446
10222857	6613
10222870	6613
10222873	9390
10222874	13991
10222877	530
10222976	530
10222978	530
10222979	530
10222980	530
10223118	6613
10223209	205331
10223210	530
10223215	530
10223441	223441
10223683	530
10223930	6571
10223935	9390
10223942	10611
10223944	530
10224036	530
10224037	530
10224158	6542
10224170	6533
10224418	224418
10224523	13
10224645	530
10224646	530
10224647	9003
10224650	530
10224651	13646
10224653	530
10224654	14387
10224658	530
10224660	116149
10224751	530
10224881	94261
10225013	164025
10225109	8519
10225111	6687
10225113	530
10225119	13
10225215	530
10225235	6613
10225336	8028
10225460	225460
10225710	225710
10225821	530
10225822	530
10225825	530
10225950	225950
10226048	6613
10226152	226152
10226182	530
10226188	9390
10226274	17234
10226275	6778
10226292	6571
10226394	226394
10226508	226508
10226509	213858
10226739	6533
10226758	530
10226759	13845
10226872	26646
10226873	226873
10226874	26646
10226875	226875
10226981	6778
10226984	3
10226985	226985
10227088	7818
10227089	17234
10227091	6613
10227217	530
10227327	3
10227344	530
10227456	3992
10227459	530
10227559	227559
10227575	13646
10227576	530
10227688	530
10227690	6533
10227791	530
10227796	227796
10227798	3
10227799	2879
10227800	6778
10227804	530
10227929	530
10228046	530
10228048	228048
10232775	6909
10235549	235549
10235552	6687
10235562	36643
10235697	18560
10235795	530
10235836	530
10235837	6687
10235844	7322
10236010	184416
10236011	9050
10236014	14216
10236089	3
10236098	236098
10236144	236144
10236145	530
10236157	164432
10236282	9050
10236286	92100
10236423	6571
10236429	6
10236440	13991
10236442	530
10236444	530
10236445	236445
10236448	29243
10236660	13322
10236865	530
10236866	6687
10236868	530
10236872	9948
10237167	6613
10237266	237266
10237306	237306
10237307	14872
10237314	237314
10237318	97948
10237447	32228
10237602	6613
10237608	6571
10237610	8519
10237620	237620
10237750	3
10237767	6687
10237889	6542
10238339	3
10238340	238340
10238341	3
10238343	6
10238470	6571
10238471	238471
10238484	15080
10238485	139752
10238921	6613
10238923	238923
10238924	238924
10238926	530
10238927	14720
10238933	6571
10239141	8712
10239201	530
10239207	530
10239210	530
10239515	530
10239740	4972
10239785	6571
10240080	6571
10240084	9050
10240085	231824
10240100	14720
10240102	15080
10240172	530
10241528	4262
10242096	3
10243271	282
10243403	961
10243820	530
10244550	14387
10245683	154399
10246690	3
10247109	6718
10247110	6718
10247564	530
10247565	530
10247999	591
10249140	1630
10249301	249301
10251468	7322
10251772	13646
10253389	15080
10253844	6613
10253998	6783
10255883	6571
10257803	6571
10265893	530
10293188	7852
10293311	6613
10293312	293312
10293437	530
10293438	530
10293441	2879
10293442	6778
10293443	3
10293590	6533
10293595	293595
10293742	530
10293744	116149
10293747	13646
10293749	530
10293750	293750
10293887	3
10294176	6687
10294196	23
10294197	294197
10294200	6613
10294201	7825
10294202	294202
10294327	530
10294328	294328
10294485	116149
10294493	530
10294618	530
10294619	530
10294620	530
10294621	530
10294622	530
10294623	530
10294624	530
10294625	530
10294626	530
10294630	530
10294631	530
10294632	530
10294633	530
10294757	530
10294758	530
10294759	6749
10294761	9003
10294770	530
10294771	530
10294904	530
10294907	6613
10294920	6613
10294923	530
10295222	530
10295350	530
10295351	116149
10295352	530
10295353	530
10295355	6718
10295361	13845
10295362	295362
10295364	13991
10295500	3
10295509	530
10295510	530
10295523	530
10295650	530
10295651	530
10295652	9390
10295653	530
10295657	9390
10295661	116149
10295663	3
10295667	530
10295672	7464
10295673	530
10295801	213858
10295802	6778
10295804	7
10295947	530
10295948	530
10295954	1673
10295960	295960
10296107	296107
10296115	296115
10296116	6591
10296246	8851
10296247	3
10296248	6900
10296413	9003
10296415	530
10296416	296416
10296417	116149
10296550	26211
10296554	530
10296561	530
10296562	296416
10296830	26665
10296837	530
10296853	530
10296854	530
10296980	9003
10296995	530
10297000	6613
10297005	530
10297132	6613
10297576	21998
10297746	6687
10297882	6718
10297903	530
10298029	530
10298030	530
10298031	530
10298344	530
10298644	298644
10298800	530
10298801	530
10298802	530
10298938	6571
10298954	530
10298955	530
10299084	213858
10299986	13292
10299987	8466
10300137	530
10300293	530
10300565	300565
10300568	300568
10301032	3
10301179	530
10301187	3
10301333	530
10301341	286
10301342	3
10301473	208
10301481	301481
10301640	14311
10301790	165582
10302069	13646
10302070	13646
10302089	116149
10302365	2853
10302504	302504
10302505	18388
10302511	6609
10302513	530
10302519	98746
10302670	23
10302672	6778
10302976	6407
10303115	7
10303260	303260
10303405	530
10303562	6613
10303568	14399
10303715	530
10303716	530
10303718	530
10303719	530
10303720	530
10303725	1524
10303731	530
10303853	530
10303854	530
10303855	530
10304009	6609
10304302	530
10310004	23
10310143	6613
10310591	310591
10311047	14872
10311294	530
10311472	530
10311475	530
10311620	3523
10311622	8225
10311632	311632
10311918	530
10311943	530
10312085	11
10312091	35462
10312235	6571
10312534	530
10312704	3
10312707	530
10312715	530
10312846	442
10313791	530
10313793	530
10313937	6718
10313940	530
10314369	6718
10314370	530
10314377	6609
10314671	530
10314672	314672
10314681	530
10314821	13646
10314822	6718
10314823	164025
10314824	530
10314825	164024
10314826	164024
10314827	530
10314828	314828
10314965	115438
10315110	530
10315260	530
10315277	114360
10315429	530
10315568	16231
10315731	8028
10315889	3
10315891	530
