id	name	type
10826310	Kosmotheōros›The celestial worlds discover'd: or, Conjectures concerning the inhabitants, plants and productions of the worlds in the planets	Edition
35992514	Abraham de Hondt	Person
35189404	Hermann Vultejus	Person
23672923	Apud Rutg. Christ. Alberts	Publisher
12666113	Horologium oscillatorium›Christiani Hugenii Zulichemii, Const. f., Horologium oscillatorium, siue, De motu pendulorum ad horologia aptato demonstrationes geometricae	Edition
37046570	Wilhelm Antonii	Person
27088676	Sumptibus Iohannis Franci, bibliopolae	Publisher
33642311	Arnold von Reyger	Person
90536	Lisboa occidental	Place
37052898	Gothofredus Antonii	Person
21685987	Chez J. Elsevier	Publisher
20015902	Apud Nicolaum van Daalen	Publisher
31813000	Siwart Haverkamp	Person
27620169	Excudebat Paulus Egenolphus, Typog. Acad.	Publisher
28145500	G. Block	Publisher
23428137	Excudebat Petrus Faber	Publisher
954708	Hagae Comitum	Place
21855418	J. Le Carpentier	Publisher
10583401	Tractatvs defensionis tripartite ad l. Vt vim ff. De iust. & iur. Necnon Tractatvs de moribus maiorum et longa consuetudine, ad l. More maiorum, cum l. sequenti, ff. De iurisdictio. omni. iudic	Edition
5078690	Magdeburgi	Place
2113652	Lichae	Place
21774457	Verlegt von Friedrich Lanckischens Erben	Publisher
13206295	Selecta iuris naturae et gentium›Io. Francisci Buddei P.P. selecta iuris naturae et gentium›Io. Francisci Bvddei P.P. selecta ivris natvrae et gentivm›Selecta juris naturae et gentium›Selecta iuris naturae et gentium	Edition
13468654	Selectarum disputationum ad jus civile Justinianeum quinquaginta libris Pandectarum comprehensum volumina duo›Hieronymi Treutleri JC. Selectarum disputationum ad jus civile Justinianęum quinquaginta libris Pandectarum comprehensum volumina duo : de quibus ipso praeside in celeberrima Academia Marpurgensi exercitij gratia disputarunt nobiles & eruditi juvenes LL. studiosissimi, quorum nomina singulis disputationibus asscripta sunt›Selectarum disputationum ad jus civile Justinianęum quinquaginta libris Pandectarum comprehensum volumina duo	Edition
35489245	Aegidius Hortensius	Person
12945838	Discours politiques sur la voye d'entrer deuëment aux estats et maniere de constamment s'y maintenir et gouverner›Politique discourses : treating of the differences and inequalities of vocations, as well publique as priuate : with the scopes or endes wherevnto they are directed	Edition
20297576	J. de Wetstein; etc., etc	Publisher
13744891	Tractatio de subfeudis›Andreae Kohl, jcti., Elect. Brandeb. consiliarij, Tractatio de subfeudis›De subfeudis	Edition
11387547	The craft and frauds of physick expos'd ... With instructions to prevent being cheated and destroy'd by the prevailing practice	Edition
1426411	Ulyssipone	Place
20826310	Printed for T. Childe	Publisher
22666113	Apud F. Muguet ...	Publisher
11656421	Şecere-i Türk›Histoire genéalogique des Tatars	Edition
23642311	Sumptibus Esaiae FelgibelI, bibliop. Uratislav.	Publisher
11685987	Du droict usage de la philosophie morale	Edition
5629340	Lipsiae & Magdeburgi	Place
13494414	Works›Q. Horatii Flacci poemata›Quinti Horatii Flacci poemata›Poemata	Edition
32621052	Joannes Franciscus Buddeus	Person
15592791	Synopsis juris feudalis, quo hodie in Imperio Romano Germanico utimur : ex optimis istius juris interpretibus & insignioribus practicis collecta ...	Edition
10874856	Kosmotheōros; sive, De terris coelestibus earumque ornatu conjecturae	Edition
14005623	Tauole della geografia antica, moderna, ecclesiastica, e ciuile, ouero, Diuisione del globo terrestre nelle sue principali parti, regioni, regni, stati, prouincie, città, & altri luoghi riguardeuoli	Edition
25755216	Franciscus Osanna ... typographus ...	Publisher
17692749	Commentarius de servitutibus praediorum›Joannis Corasii iureconsulti celeberrimi Commentarius de servitutibus praediorum : in quo plaeraque huc spectantia novè ex fundamentis iuris explicata leguntur : nunc primum seorsim excusus : praefixa est autoris vita ex M. VVesembecio›De servitutibus praediorum	Edition
16906663	Recensitio methodica praecipuarum legum, titulor. Digest. et Cod. de rebus creditis, si certum petetur, et de condictione : rationem contrahendae et committendae obligationis mutui, ordine convenienti, exhibens	Edition
15072768	Tractatus de servitiis feudalibus›Andreae Kohl, jc. Tractatus duo : quorum prior de servitiis feudalibus, von Lehn- oder Ritter-Diensten, alter de subfeudis, von Affter-Lehnen	Edition
32113652	Hermann Rennecher	Person
11405200	Cosmographicae aliqvot descriptiones. De sphaera cosmographica, hoc est de globi terrestris, artificiosa structura. De dvplici terræ proiectione in planum, hoc est, qua ratione comodius chartæ cosmographicæ, quas mappas mundi uocant, designari queant. Omnia recens data per Io. Dryandrvm	Edition
35592791	Georg Schultze	Person
