id	names
100253440	Susann, Jacqueline,
100253440	1918-1974.
100253440	Susann,
100253440	Jacqueline,
100253440	1918-1974
100253440	Сьюзан, Жаклин,
100253440	1918-1974.
100253440	Сьюзанн
100253440	Ж.
100253440	1918-1974
100253440	Жаклин', "סוזאן, ז'קלין,", '1918-1974
100253440	heb
100253440	سوزان، جاكلين،
100253440	1921-1974
10027079	Pennacini, Cecilia
10027079	ba0yba0y
10027079	fre   
10027079	 0 
10027079	Pennacini
10027079	Cecilia
10027079	1961-....
10027079	Pennacini, Cecilia
10027079	Pennacini, Cecilia
10027079	(1961- ).
10027079	Pennacini, Cecilia
10027079	1961-
10027079	Pennacini, Cecilia,
10027079	1961-
10027079	Pennacini, Cecilia,
10027079	1961-
10027079	Pennacini, Cecilia,
10027079	1961-....
100288515	Evans, Julian
100288515	ba0yba0y
100288515	fre   
100288515	 0 
100288515	Evans
100288515	Julian
100288515	1946-....
100288515	Evans, Julian
100288515	Evans, Julian
100288515	(1946- ).
100288515	Evans, Julian
100288515	1946-
100288515	Evans, Julian
100288515	1946-...
100288515	Evans, Julian,
100288515	1946-
100288515	lat
100288515	Evans, Julian,
100288515	1946-
100288515	Evans, Julian,
100288515	1946-
100288515	Evans, Julian,
100288515	1946-
100288515	jo2006333886
100288515	Evans, Julian,
100288515	1946-....
100306137	Smith, Douglas W.
1003152636176120052961	Wilhelm, Hans A.
100321218	Marchand, Jean-Baptiste 19..-.... chef de projet multimédia
100321218	ba0yba0y
100321218	fre   
100321218	 0 
100321218	Marchand
100321218	Jean-Baptiste
100321218	19..-....
100321218	chef de projet multimédia
100321218	Marchand, Jean-Baptiste
100337377	ba0yba0y
100337377	fre   
100337377	 0 
100337377	Theis
100337377	Jörg
100337377	Theis, Jörg
100337377	Theis, Jörg
100337377	Theis, Jörg
100337377	Theis, Jörg
100349808	ba0yba0y
100349808	fre   
100349808	 0 
100349808	Schober
100349808	Donat
100349808	1949-....
100349808	Schober, Donat
100349808	1949-
100349808	Schober, Donat
100349808	1949-
10036153	ba0yba0y
10036153	fre   
10036153	 0 
10036153	Leculier
10036153	Olivier
10036153	Leculier, Olivier
100376779	Franck, Johann
100394479	Li, Mo
100394479	1922-
100394479	Li, Mo,
100394479	1922-
100394479	Li, Mo,
100394479	1922-
100414242	Eichhorn, Helmut
100414242	1951-
1004155042793572401653	Arnoult,
1004155042793572401653	avocat
100428846	Richard von Rheinbaben deutscher Unternehmer und Mäzen
100428846	Rheinbaben, Richard Kreuzwendedich von
100428846	1960-
100428846	Rheinbaben, Richard Kreuzwendedich \x98von\x9c
100428846	1960-
100428846	Richard von Rheinbaben
100428846	deutscher Unternehmer und Mäzen
100428846	de
10044646	ba0yba0y
10044646	fre   
10044646	 0 
10044646	Bertholon
10044646	Régis
10044646	Bertholon, Régis
100465245	Faßbender, Anne
100465245	1975-
100482037	Gurwič, Elena
100482037	1948-
100482037	Gurwič, Elena,
100482037	1948-
100482037	Gurwič, Elena
100482037	1948-
100501409	Risch, Friedrich Oskar 1835-1904
100501409	Friedrich Oskar Risch
100501409	fr
100501409	en
100501409	nl
100501409	pt
100501409	ast
100501409	it
100501409	gl
100501409	es
100501409	Risch, Friedrich Oskar
100501409	1835-1904
1005145857929623020390	Rosenmann Taub, David,
1005145857929623020390	1927-
1005145857929623020390	Cielo en la fuente ; Mañana eterna
100515614	Ponnelle, Pierre
100515614	-1977
100531458	Goldman, M. (Maurice), 1933-
100531458	Goldman, Maurice
100531458	Maurice Goldman
100531458	Maurice Goldman physicien français
100531458	ba0yba0y
100531458	liteng
100531458	Goldman
100531458	Maurice
100531458	1933-
100531458	ba0yba0y
100531458	fre   
100531458	 0 
100531458	Goldman
100531458	Maurice
100531458	1933-....
100531458	Goldman, M.
100531458	(Maurice),
100531458	1933-
100531458	Goldman, M.
100531458	(Maurice),
100531458	1933-
100531458	Goldman, M.
100531458	(Maurice),
100531458	1933-
100531458	lat
100531458	Goldman, M.
100531458	(Maurice),
100531458	1933-
100531458	Goldman, M.
100531458	(Maurice),
100531458	1933-
100531458	Goldman, Maurice
100531458	Goldman, Maurice
100531458	Goldman, Maurice
100531458	(1933- ).
100531458	Goldman, Maurice
100531458	1933-
100531458	Goldman, Maurice,
100531458	1933-
100531458	Goldman, Maurice,
100531458	1933-....
100531458	Maurice Goldman
100531458	Maurice Goldman
100531458	physicien français
100531458	fr
100549157	Philipp Bernhard Roessler
100549157	Philipp Bernhard Roessler
100549157	fr
100549157	en
100549157	nl
100549157	pt
100549157	ast
100549157	it
100549157	gl
100549157	es
100549157	Roessler, Philipp Bernhard
100549157	1849-1920
100566954	Nefzer, Ina 1962-
100566954	Nefzer, Ina
100566954	Nefzer, Ina
100566954	Nefzer, Ina
100566954	Nefzer, Ina
100566954	1962-
100583507	Martin Simons écrivain allemand
100583507	Martin Simons
100583507	écrivain allemand
100583507	fr
100583507	ba0yba0y
100583507	fre   
100583507	 0 
100583507	Simons
100583507	Martin
100583507	1973-....
100583507	Simons, Martin
100583507	(1973- ).
100583507	Simons, Martin
100583507	1973-
100583507	Simons, Martin
100583507	1973-
100583507	Simons, Martin
100583507	1973-
100583507	Simons, Martin,
100583507	1973-
100583507	Simons, Martin,
100583507	1973-
100583507	Simons, Martin,
100583507	1973-
100583507	lat
100583507	Simons, Martin,
100583507	1973-
100583507	Simons, Martin,
100583507	1973-....
100601881	Rajurkar, Narsinha Govind
100601881	1931-
1006148947846854950006	Walker, Norman
10061762	Williams, Dana P.
10061762	ba0yba0y
10061762	fre   
10061762	 0 
10061762	Williams
10061762	Dana P.
10061762	1952-....
10061762	Williams, Dana P
10061762	Williams, Dana P.
10061762	Williams, Dana P.
10061762	Williams, Dana P.
10061762	Williams, Dana P.
10061762	Williams, Dana P.
10061762	(1952- ).
10061762	Williams, Dana P.
10061762	1952-
10061762	Williams, Dana P.,
10061762	1952-
10061762	Williams, Dana P.,
10061762	1952-
10061762	Williams, Dana P.,
10061762	1952-
10061762	Williams, Dana P.,
10061762	1952-
10061762	lat
100651929	Miller, George, 1945 3 mars-
100651929	Miller, George 1943-.... cinéaste
100651929	Miller, George 1943-
100651929	Miller, George, 1943-...., cinéaste britannique
100651929	Miller, George f. 1945
100651929	Miller, George (George Trumbull)
100651929	ba0yba0y
100651929	fre   
100651929	 0 
100651929	Miller
100651929	George
100651929	1943-....
100651929	cinéaste
100651929	Miller, George
100651929	(1945- )
100651929	Miller, George
100651929	(1945- ).
100651929	Miller, George
100651929	1943-
100651929	Miller, George
100651929	1945 3 mars-
100651929	Miller, George
100651929	1945-
100651929	Miller, George
100651929	1945-
100651929	Miller, George
100651929	f. 1945
100651929	Miller, George
100651929	(George Trumbull)
100651929	Miller, George, 
100651929	1945-
100651929	Miller, George,
100651929	1943-....,
100651929	cinéaste britannique
100651929	Miller, George,
100651929	1945 3 mars-
100651929	Miller, George,
100651929	1945-
100651929	lat
100651929	Miller, George,
100651929	1945-
100673090	Grinev, A. M.
100673090	(Alekseĭ Mikhaĭlovich)
100683309	Garbaty, E. L.
100693514	Ji, Meijun,
100693514	1967-
100703498	Deasy, Lara
100703498	Deasy, Lara
100713538	Yuvakiruṣṇā
1007155042709872400731	Prügel, Heinrich
1007155042709872400731	Prügel, Heinrich
100722062	Morrison, Sybil, 1893-1984
100722062	Morrison, Sybil,
100722062	1893-1984
100722062	Sybil Morrison
100722062	de
100722062	es
100722062	ast
100732236	Sharaf, Laylá
100732236	Sharaf, Laylá
100742887	Grimaldo Velasco, Francisco Antonio
100752840	Hanes, Frederic M.
100752840	(Frederic Moir),
100752840	1883-1946
10076313	H. M. Antia researcher, ORCID id # 0000-0001-7549-9684
10076313	Antia, Hormazad Maneck (1955- ).
10076313	ba0yba0e
10076313	fre   
10076313	 0 
10076313	Antia
10076313	H. M.
10076313	Antia, H. M.
10076313	lat
10076313	Antia, H. M.
10076313	xx0077219
10076313	Antia, H. M.
10076313	Antia, H. M.
10076313	Antia, H. M.
10076313	Antia, H. M.
10076313	Antia, H. M.
10076313	Antia, H.M
10076313	Antia, H.M.
10076313	Antia, Hormazad Maneck
10076313	(1955- ).
10076313	H. M. Antia
10076313	researcher, ORCID id # 0000-0001-7549-9684
10076313	en
100773179	Shen, Maolin,
100773179	1926-
100783412	Krimski, Eugene D.
100783412	Krimski, Eugene D.
100793441	Magdalene, Taylah
100793441	1963-
100793441	Magdalene, Taylah,
100793441	1963-
100803814	Lewis, James O.
100803814	(James Ogier),
100803814	1886-
100813990	Zertuche Cázares, Olegario Augusto
100813990	Zertuche Cázares, Olegario Augusto
1008155042734072400948	British Society for Developmental biology.
1008155042734072400948	Meeting
1008155042734072400948	(1990 :
1008155042734072400948	Manchester)
100823163	Theel, Heather J.,
100823163	1980-
100823163	Theel, Heather J.,
100823163	1980-
100833227	López Camacho, Alfonso
100843740	Pčola, Marián
100843740	1976-
100843740	Pčola, Marián,
100843740	1976-
100843740	js20091002001
100856485	Macenauer, Bedřich
100856485	1929-2013
100856485	Macenauer, Bedřich
100856485	1929-2013
100856485	Macenauer, Bedřich,
100856485	1929-2013
100856485	pna2009525896
100869558	Koval, Dušan,
100869558	1929-2006
100869558	xx0103181
100885936	שושן, אורלי
100885936	1959-
100903932	Köster, Friedrich Burchard
100903932	Köster, Friedrich
100903932	Koester, Friedrich
100903932	Friedrich Köster
100903932	Köster, Friedrich (Friedrich Burchard), 1791-1878
100903932	Friedrich Köster
100903932	fr
100903932	nn
100903932	ast
100903932	nb
100903932	sv
100903932	da
100903932	eo
100903932	sl
100903932	es
100903932	Koester, Friedrich
100903932	Köster, Friedrich
100903932	1791-1878
100903932	Köster, Friedrich
100903932	(Friedrich Burchard),
100903932	1791-1878
100903932	Köster, Friedrich,
100903932	1791-1878
100903932	lat
100903932	Köster, Friedrich,
100903932	1791-1878
100903932	Köster, Friedrich,
100903932	1791-1878
100903932	Köster, Friedrich
100903932	Köster, Friedrich Burchard
100903932	Köster, Friedrich Burchard
1009150323929609972529	Raczak, Leszek
100917680	Gordon, J. E. (John E.)
100917680	Gordon, John
100917680	Gordon, John E.
100917680	Gordon, J.E. (John Ewart), geologie
100917680	ba0yba0y
100917680	fre   
100917680	 0 
100917680	Gordon
100917680	John Ewart
100917680	Gordon, J. E.
100917680	(John E.)
100917680	Gordon, J. E.
100917680	(John E.)
100917680	lat
100917680	Gordon, J.E.
100917680	(John Ewart),
100917680	geologie
100917680	Gordon, John
100917680	Gordon, John E.
100917680	Gordon, John Ewart
100929224	Glassbourg, Adah
100929224	Glassbourg, Adah
100940199	Cervin, Neil 1961-
100940199	Cervin, Neil
100940199	Cervin, Neil
