20000020	"""Le Tre Venezie,"""	Publisher
20000021	Wereldbibliotheek-vereeniging	Publisher
20000022	C. Feldmüller	Publisher
20000023	P. Reclam jun	Publisher
20000024	Springer	Publisher
20000025	P. Parey	Publisher
20000026	Rhein-Mainische verlagsanstalt	Publisher
20000027	F. Schneider	Publisher
20000028	J. L. Schrag	Publisher
20000029	A. Kraft	Publisher
20000030	H. Vaillant-Carmanne, s.a.; etc., etc	Publisher
20000031	Boivin et cie	Publisher
20000032	Spiegel verlag P. Lippa	Publisher
20000033	G. Danner	Publisher
20000034	C. Bertelsmann	Publisher
20000035	A. Manteau	Publisher
20000036	Verlag Die Heimbücherei	Publisher
20000037	Horizons de France	Publisher
20000023	P. Reclam jun	Publisher
20000039	G. Truckenmüller	Publisher
20000016	Fratelli Bocca	Publisher
20000041	F. Eher nachf	Publisher
20000042	E. Kaiser	Publisher
20000043	Aubier, Éditions Montaigne	Publisher
20000044	G. Kiepenheuer Bühnenvertriebs G.m.b.H.	Publisher
20000005	Zinnen-verlag	Publisher
20000046	Recueil Sirey	Publisher
20000047	Gauverlag Bayreuth	Publisher
20000048	G. Fischer	Publisher
20000049	E. J. Brill	Publisher
20000050	Plon	Publisher
20000051	Uitgeverij Foreholte	Publisher
20000023	P. Reclam jun	Publisher
20000053	E. Schmidt	Publisher
20000054	A.W. Bruna en zoon	Publisher
20000055	Deuerlichsche verlagsbuchhandlung	Publisher
20000056	"Les Éditions ""Francex,"" Société d'éditions extérieures et coloniales"	Publisher
20000057	Perinetti Casoni	Publisher
20000058	Corrêa	Publisher
20000059	Westmark verlag gmbh	Publisher
20000060	De Sikkel; etc., etc	Publisher
20000061	Hachette	Publisher
20000001	F. Müller	Publisher
20000063	A. Morano	Publisher
20000064	Hanseatische Verlagsanstalt	Publisher
20000065	't Groeit	Publisher
20000066	C. Schünemann	Publisher
20000067	Fichte-verlag/P. Wustrow	Publisher
20000068	"Verlag ""Das Bergland-Buch"""	Publisher
20000069	Éditions Médicis	Publisher
20000070	La Jeune Parque	Publisher
